split,sample_id,subset,wss_approximation_error,wss_rmse,wss_nmae,wss_cosine_similarity,pressure_rmse,pressure_nmae,pressure_r2
val,sample_0584,single,0.7626853583812374,13.237007535776367,0.6243218556588068,0.9314339568123741,1081.9192515866455,0.00578162587553682,-1.8142048554567833
test,sample_1826,single,0.8554901203939108,22.79453653367886,0.8472893611604946,0.6790822437012448,453.21105383251603,0.002561112998186602,0.8915313096962775
test,sample_0275,single,0.8354891535229405,16.38390812617562,0.772779559249212,0.7524044885587634,731.6092326023638,0.003979868745727348,0.28434406698977677
test,sample_1811,single,0.7813774735335434,26.100322314588627,0.674677835430786,0.8413125995874354,961.0730657739606,0.005733768283155398,0.7344484728120367
test,sample_1768,single,0.7160342857910978,14.874143730532396,0.5807969582066038,0.886415412096604,652.219319390653,0.0037720613869221377,0.5163474102817092
test,sample_0387,single,0.7776906648912258,13.833414741969799,0.6607621664119948,0.8548517624247655,939.8659901949846,0.005178122210684264,-0.675935563208556
test,sample_1914,single,0.7977604906625978,18.786994980903728,0.7423429126200319,0.8319372167064887,531.7545602010814,0.003161691892252999,0.8178904081146432
test,sample_0314,single,0.7532312734145958,16.72529423178323,0.6711549852191265,0.7871079721748292,340.93274715181684,0.0021111355670503096,0.9159341956127304
test,sample_0621,single,0.81767439261586,11.992204173502362,0.7648508632684613,0.9192537408546567,1476.4667381218392,0.008133298227914806,-8.981468482395568
test,sample_0055,single,0.7769347524782434,13.665954480250168,0.6790200583201498,0.8190397586427305,935.1058520029305,0.005354856941649354,-0.4971195832290225
test,sample_1877,single,0.7991980114347638,20.345932189344918,0.7171966783741894,0.8202425106374883,457.8167502839823,0.0026199717687447398,0.8901165089940526
test,sample_1797,single,0.7773168753661263,13.228937468448994,0.6601436297527825,0.8874172804833779,1027.7919334853668,0.0051992577336471705,-1.3666752417617243
test,sample_1695,single,0.7927364055968875,17.122023404048573,0.7465379773397915,0.8395283536419693,635.5621080641145,0.003525754862562661,0.6085853642890395
test,sample_1211,single,0.7723506605578978,16.453806789701208,0.7091480304318922,0.8451121367030493,734.2778796362093,0.004203161251926274,0.4580522466348771
test,sample_0215,single,0.8427233957781308,12.741955259531442,0.7833877114200811,0.859729950388383,1205.7237418404113,0.006362448943903463,-3.738487872147666
test,sample_1725,single,0.8606768348551611,27.490132809476666,0.7600603804737358,0.7240622223931401,984.6764225504024,0.005741541070724134,0.7619599433617801
test,sample_1886,single,0.8041689196498638,13.425387411376484,0.7104352178078605,0.8916037397466593,1285.2014149935655,0.007166729304538193,-4.123624967997738
test,sample_1360,single,0.8408135417930495,26.244091890345096,0.8220362352687511,0.6876460364133492,760.6376684882645,0.00449957950189744,0.8423293328717698
test,sample_0177,single,0.8517915488714254,18.49154078663306,0.8790733197182445,0.7140341580631192,638.1853907873214,0.0036717447675545397,0.5840106985848931
test,sample_1095,single,0.804915723534301,22.520854449351358,0.7340910340822876,0.7552505507517331,583.0503208519419,0.003176869245929498,0.8874101330605552
test,sample_0360,single,0.7681297660637109,13.770333050604586,0.6083783727811638,0.9242152078975086,1185.7393101670746,0.006481953880429656,-2.6439234056459613
test,sample_0338,single,0.8437746312234943,25.918272688834428,0.8162457740698174,0.6886202181075605,698.6438641153359,0.004078744403916746,0.8514652628898371
test,sample_0216,single,0.886498420481824,23.13566690753766,0.9384728560280657,0.6832399375734174,804.7843771005104,0.004270353942291037,0.5574835433313372
test,sample_0264,single,0.878521985419239,31.993101695531816,0.8550555396640782,0.6924388733568703,1030.2446639005186,0.0058188606196749905,0.7701351155080917
